run,label,path,dataset,model.name,model.dim,data.mode,data.path,data.batch_size,data.crop_size,training.seed,training.max_iterations,loss.mode,loss.recon_weight,loss.anchor_version,loss.anchor_weight,loss.bdsp_weight,loss.smooth_weight,loss.smooth_version,available_image_sets,requested_image_set,target_image_set,has_target_image_set,R_low_count,L_low_count,components_complete,has_config,has_train_log,has_synthesis,has_compare_psnr,has_decomp_report,has_decomp_details,has_final_full_validation,has_best_model,has_last_model,full_sample_count,full_selection_metric,full_selected_checkpoint_step,full_selected_value,full_total_loss,full_recon_loss,full_recon_weighted_loss,full_anchor_loss,full_anchor_weighted_loss,full_bdsp_loss,full_bdsp_weighted_loss,full_smooth_loss,full_smooth_weighted_loss,analysis_ready
BDDnight_0.3r_0.05anchorv2_0.05bdsp_0.1smv1_20260716-102043,r0.3-a2-sm0.1v1,experiments/RetinexPixelTrans/pure_low_single/BDDnight_0.3r_0.05anchorv2_0.05bdsp_0.1smv1_20260716-102043,BDDnight,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/BDDnight,4,512,42,10000,pure_low_single_pixel,0.3,v2,0.05,0.05,0.1,v1,"best,final_best",auto,final_best,True,250,250,True,True,True,True,True,True,True,True,True,False,3929,total_loss,10000,0.006537249148959617,0.006537249148959617,0.006236947429470469,0.0018710843051259174,0.032369980891964065,0.0016184990724738802,0.051811643307955096,0.002590582211928328,0.004570835546255453,0.00045708356217594853,True
BDDnight_0.3r_0.05anchorv2_0.05bdsp_0.5smv1_20260716-123043,r0.3-a2-sm0.5v1,experiments/RetinexPixelTrans/pure_low_single/BDDnight_0.3r_0.05anchorv2_0.05bdsp_0.5smv1_20260716-123043,BDDnight,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/BDDnight,4,512,42,10000,pure_low_single_pixel,0.3,v2,0.05,0.05,0.5,v1,"best,final_best",auto,final_best,True,250,250,True,True,True,True,True,True,True,True,True,False,3929,total_loss,10000,0.007828976373743104,0.007828976373743104,0.009001591496243523,0.0027004775588113134,0.028436089658455014,0.0014218045085628622,0.054676983497902225,0.0027338492228479124,0.00194569014930862,0.00097284507465431,True
BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,r1-a2-sm0v1,experiments/RetinexPixelTrans/pure_low_single/BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,BDDnight,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/BDDnight,4,512,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.0,v1,"best,final_best",auto,final_best,True,250,250,True,True,True,True,True,True,True,True,True,False,3929,total_loss,10000,0.00954168740390677,0.00954168740390677,0.003551824143989361,0.003551824143989361,0.04638473213394048,0.002319236643408295,0.07341253094339104,0.0036706266083609295,,,True
BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.1smv1_20260716-060543,r1-a2-sm0.1v1,experiments/RetinexPixelTrans/pure_low_single/BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.1smv1_20260716-060543,BDDnight,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/BDDnight,4,512,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.1,v1,"best,final_best",auto,final_best,True,250,250,True,True,True,True,True,True,True,True,True,False,3929,total_loss,10000,0.010109085442446653,0.010109085442446653,0.003581836367261587,0.003581836367261587,0.04875776098486909,0.0024378880927517924,0.07116626612282673,0.0035583133635993646,0.00531047604078288,0.0005310476135301811,True
BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.5smv1_20260716-081309,r1-a2-sm0.5v1,experiments/RetinexPixelTrans/pure_low_single/BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.5smv1_20260716-081309,BDDnight,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/BDDnight,4,512,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.5,v1,"best,final_best",auto,final_best,True,250,250,True,True,True,True,True,True,True,True,True,False,3929,total_loss,10000,0.01173118590743495,0.01173118590743495,0.003776435276704868,0.003776435276704868,0.05106303031627657,0.0025531515595177225,0.06592766446606382,0.0032963832731522976,0.004210431512682723,0.0021052157563413616,True
LOLv2_0.3r_0.05anchorv2_0.05bdsp_0.1smv1_20260714-223238,r0.3-a2-sm0.1v1,experiments/RetinexPixelTrans/pure_low_single/LOLv2_0.3r_0.05anchorv2_0.05bdsp_0.1smv1_20260714-223238,LOLv2,RetinexPixelTrans,24,pure_low_single,datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,0.3,v2,0.05,0.05,0.1,v1,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,False,,,,,,,,,,,,,,True
LOLv2_0.3r_0.05anchorv2_0.05bdsp_0.5smv1_20260715-015134,r0.3-a2-sm0.5v1,experiments/RetinexPixelTrans/pure_low_single/LOLv2_0.3r_0.05anchorv2_0.05bdsp_0.5smv1_20260715-015134,LOLv2,RetinexPixelTrans,24,pure_low_single,datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,0.3,v2,0.05,0.05,0.5,v1,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,False,,,,,,,,,,,,,,True
LOLv2_1.0r_0.05anchorv1_0.05bdsp_0.0smv1_20260714-024244,r1-a1-sm0v1,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.05anchorv1_0.05bdsp_0.0smv1_20260714-024244,LOLv2,RetinexPixelTrans,24,pure_low_single,datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v1,0.05,0.05,0.0,v1,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,False,,,,,,,,,,,,,,True
LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260714-060043,r1-a2-sm0v1,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260714-060043,LOLv2,RetinexPixelTrans,24,pure_low_single,datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.0,v1,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,False,,,,,,,,,,,,,,True
LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv1_20260714-155441,r1-a2-sm0.1v1,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv1_20260714-155441,LOLv2,RetinexPixelTrans,24,pure_low_single,datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.1,v1,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,False,,,,,,,,,,,,,,True
LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv2_20260717-200532,r1-a2-sm0.1v2,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv2_20260717-200532,LOLv2,RetinexPixelTrans,24,pure_low_single,datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.1,v2,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,False,,,,,,,,,,,,,,True
LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv3_20260718-094046,r1-a2-sm0.1v3,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv3_20260718-094046,LOLv2,RetinexPixelTrans,24,pure_low_single,datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.1,v3,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,False,,,,,,,,,,,,,,True
LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.5smv1_20260714-191342,r1-a2-sm0.5v1,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.5smv1_20260714-191342,LOLv2,RetinexPixelTrans,24,pure_low_single,datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.5,v1,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,False,,,,,,,,,,,,,,True
LOLv2_1.0r_0.05anchorv2_0.0bdsp_0.1smv3_20260718-130429,r1-a2-sm0.1v3,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.05anchorv2_0.0bdsp_0.1smv3_20260718-130429,LOLv2,RetinexPixelTrans,24,pure_low_single,datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.0,0.1,v3,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,False,,,,,,,,,,,,,,True
