run,label,image_set,n_images,dataset,model.name,model.dim,data.mode,data.path,data.batch_size,data.crop_size,training.seed,training.max_iterations,loss.mode,loss.recon_weight,loss.anchor_version,loss.anchor_weight,loss.bdsp_weight,loss.smooth_weight,loss.smooth_version,full_sample_count,full_selection_metric,full_selected_checkpoint_step,full_selected_value,full_total_loss,full_recon_loss,full_recon_weighted_loss,full_anchor_loss,full_anchor_weighted_loss,full_bdsp_loss,full_bdsp_weighted_loss,input_low_mean_mean,input_low_mean_median,input_low_mean_p05,input_low_mean_p95,input_low_gray_std_mean,input_low_gray_std_median,input_low_gray_std_p05,input_low_gray_std_p95,r_low_mean_mean,r_low_mean_median,r_low_mean_p05,r_low_mean_p95,r_low_std_mean,r_low_std_median,r_low_std_p05,r_low_std_p95,r_low_gray_std_mean,r_low_gray_std_median,r_low_gray_std_p05,r_low_gray_std_p95,r_low_bright_095_mean,r_low_bright_095_median,r_low_bright_095_p05,r_low_bright_095_p95,r_low_dark_005_mean,r_low_dark_005_median,r_low_dark_005_p05,r_low_dark_005_p95,r_low_mean_gain_vs_input_mean,r_low_mean_gain_vs_input_median,r_low_mean_gain_vs_input_p05,r_low_mean_gain_vs_input_p95,r_low_contrast_gain_vs_input_mean,r_low_contrast_gain_vs_input_median,r_low_contrast_gain_vs_input_p05,r_low_contrast_gain_vs_input_p95,r_low_tv_to_input_mean,r_low_tv_to_input_median,r_low_tv_to_input_p05,r_low_tv_to_input_p95,r_low_input_gray_corr_mean,r_low_input_gray_corr_median,r_low_input_gray_corr_p05,r_low_input_gray_corr_p95,r_low_input_chroma_l1_mean,r_low_input_chroma_l1_median,r_low_input_chroma_l1_p05,r_low_input_chroma_l1_p95,l_low_mean_mean,l_low_mean_median,l_low_mean_p05,l_low_mean_p95,l_low_std_mean,l_low_std_median,l_low_std_p05,l_low_std_p95,l_low_bright_095_mean,l_low_bright_095_median,l_low_bright_095_p05,l_low_bright_095_p95,l_low_tv_to_input_mean,l_low_tv_to_input_median,l_low_tv_to_input_p05,l_low_tv_to_input_p95,l_low_input_gray_corr_mean,l_low_input_gray_corr_median,l_low_input_gray_corr_p05,l_low_input_gray_corr_p95,self_low_l1_mean,self_low_l1_median,self_low_l1_p05,self_low_l1_p95,self_low_psnr_mean,self_low_psnr_median,self_low_psnr_p05,self_low_psnr_p95,anchor_target_mean,anchor_target_median,anchor_target_p05,anchor_target_p95,anchor_abs_error_mean,anchor_abs_error_median,anchor_abs_error_p05,anchor_abs_error_p95,r_low_highref_mean_ratio_abs_err,rank_self_recon,rank_r_noise,rank_l_leakage_corr,rank_anchor_diagnostic,rank_r_bright,rank_full_recon,canonical_anchor_penalty,pure_single_rank_score,full_smooth_loss,full_smooth_weighted_loss,input_low_highref_psnr_mean,input_low_highref_psnr_median,input_low_highref_psnr_p05,input_low_highref_psnr_p95,r_low_highref_l1_mean,r_low_highref_l1_median,r_low_highref_l1_p05,r_low_highref_l1_p95,r_low_highref_psnr_mean,r_low_highref_psnr_median,r_low_highref_psnr_p05,r_low_highref_psnr_p95,r_low_highref_ssim_mean,r_low_highref_ssim_median,r_low_highref_ssim_p05,r_low_highref_ssim_p95,r_low_highref_mean_ratio_mean,r_low_highref_mean_ratio_median,r_low_highref_mean_ratio_p05,r_low_highref_mean_ratio_p95,r_low_highref_overbright_010_mean,r_low_highref_overbright_010_median,r_low_highref_overbright_010_p05,r_low_highref_overbright_010_p95,r_low_highref_chroma_l1_mean,r_low_highref_chroma_l1_median,r_low_highref_chroma_l1_p05,r_low_highref_chroma_l1_p95,r_low_highref_gray_corr_mean,r_low_highref_gray_corr_median,r_low_highref_gray_corr_p05,r_low_highref_gray_corr_p95,r_low_highref_psnr_gain_vs_input_mean,r_low_highref_psnr_gain_vs_input_median,r_low_highref_psnr_gain_vs_input_p05,r_low_highref_psnr_gain_vs_input_p95,rank_highref,rank_highref_scale,rank_highref_overbright
BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,r1-a2-sm0v1,final_best,250,BDDnight,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/BDDnight,4,512,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.0,v1,3929,total_loss,10000,0.00954168740390677,0.00954168740390677,0.003551824143989361,0.003551824143989361,0.04638473213394048,0.002319236643408295,0.07341253094339104,0.0036706266083609295,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.12848626284301282,0.1253480166196823,0.06471055001020432,0.20396742671728135,0.6137149119377137,0.6184758543968201,0.46250949054956436,0.7546322822570801,0.18917023929953575,0.1890181452035904,0.1265642486512661,0.2542557299137114,0.14228401781618596,0.14449621737003326,0.09075894244015217,0.18077283799648286,0.0353598582175926,0.024766167534722223,0.004100495515046297,0.1130433485243055,7.868778935185184e-05,3.616898148148148e-07,0.0,0.00028389033564814705,6.014642131115576,5.4636750762703015,2.968526564572076,10.634134738238991,1.2575451607656798,1.1269393219980022,0.5840214069759315,2.3247451524020075,3.3155531189382557,2.89325955910621,1.4815794724577067,6.373097739957807,0.7131480070105414,0.7145277889575773,0.6205417288443307,0.8183650651766523,0.015661408921703698,0.010859665460884571,0.0047349400119856,0.044254266098141634,0.16801612292230128,0.15859201550483704,0.0736117534339428,0.306708912551403,0.13890404629707337,0.1341053992509842,0.06996836923062802,0.21564416140317916,0.008184340277777778,0.004717881944444445,0.00035134548611111114,0.026282714843749985,0.8484165630510916,0.8428746692648231,0.7562785461825311,0.9687398161294549,0.9831216618130982,0.9873513517779959,0.9586329861960206,0.9956809827468969,0.00411280181678012,0.0036915068048983812,0.0022870380082167683,0.006969666457735,41.40713518771281,41.34517841317441,36.40099703751303,46.63896206644892,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.04399281115829944,0.04262469708919525,0.026648358441889286,0.0719378776848316,nan,1,1,5,3,3,1,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.1smv1_20260716-060543,r1-a2-sm0.1v1,final_best,250,BDDnight,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/BDDnight,4,512,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.1,v1,3929,total_loss,10000,0.010109085442446653,0.010109085442446653,0.003581836367261587,0.003581836367261587,0.04875776098486909,0.0024378880927517924,0.07116626612282673,0.0035583133635993646,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.12848626284301282,0.1253480166196823,0.06471055001020432,0.20396742671728135,0.6034534550905227,0.6104469895362854,0.4459217920899391,0.7458004087209702,0.189733438372612,0.1909596249461174,0.1264391325414181,0.2500821255147456,0.14549435833096505,0.14739691466093063,0.0902380246669054,0.19008388370275497,0.02648214699074074,0.017926793981481483,0.003629701967592593,0.08265001085069443,0.00016213541666666668,1.6276041666666666e-06,0.0,0.0006049985532407401,5.893229844657922,5.376773407270248,2.9246458915529203,10.309137166904339,1.2906550014001676,1.144747753200853,0.5878680264583116,2.4508376316791525,3.531574426621654,3.0783460211823113,1.6437672319851382,6.670115196500859,0.7063636804002907,0.7073113928903869,0.6116520550938029,0.8122147635299141,0.015572185995988547,0.010837488807737827,0.004658448277041316,0.04361524805426596,0.1703963358476758,0.16100025177001953,0.0748543068766594,0.31136805117130273,0.13962814128398895,0.13476496934890747,0.07009102590382099,0.21652256250381463,0.00819,0.004644097222222222,0.0003318142361111112,0.026450954861111084,0.7745691471167866,0.7720273529936114,0.6797059718377292,0.875452047758042,0.9809355562596174,0.9849862437554469,0.9570587443691002,0.9945633173829393,0.004157714799046516,0.0037680830573663116,0.002335147256962955,0.00696273981593549,40.95214116137729,40.86935071130184,36.025128230604196,46.104887036065506,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.046373024083673955,0.0449863076210022,0.028064182586967946,0.07627192214131354,nan,2,2,4,4,2,2,0,26,0.00531047604078288,0.0005310476135301811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.5smv1_20260716-081309,r1-a2-sm0.5v1,final_best,250,BDDnight,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/BDDnight,4,512,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.5,v1,3929,total_loss,10000,0.01173118590743495,0.01173118590743495,0.003776435276704868,0.003776435276704868,0.05106303031627657,0.0025531515595177225,0.06592766446606382,0.0032963832731522976,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.12848626284301282,0.1253480166196823,0.06471055001020432,0.20396742671728135,0.5992704620361328,0.5994989275932312,0.46326519548892975,0.7272234708070755,0.1890203456580639,0.18907218426465988,0.1324027068912983,0.24713335037231443,0.1456995265483856,0.14522194862365723,0.10085858628153802,0.1870893448591232,0.020688337673611112,0.015610894097222223,0.004975278501157407,0.05020959924768518,0.0005072019675925926,9.403935185185186e-06,0.0,0.001147298177083332,5.915672523777341,5.306036365038491,2.840473519689103,10.6429128210682,1.2844305010586867,1.135505892522563,0.637041450710959,2.4164370928399155,3.9058735190096527,3.444752579290518,1.9597118525702002,7.110266638520626,0.6877047034223527,0.6899283567673747,0.5954630713239417,0.7972966070909344,0.015549093619920313,0.010987404268234968,0.004781458876095712,0.043144202604889846,0.1728475946560502,0.16346192359924316,0.07180148772895337,0.3192671909928322,0.14165252062678338,0.13796032220125198,0.07109733149409295,0.22029729634523393,0.008207821180555555,0.004380425347222222,0.00026768663194444447,0.02690337456597222,0.6472086803698601,0.6435618584006746,0.5410597660179022,0.7516514975966584,0.97292319558484,0.9765238408727117,0.9486664299801935,0.9898878093608892,0.004499431997537613,0.004126246552914381,0.0025936900172382595,0.007337292144075034,39.834992290772604,39.68966202547588,35.51032670142462,44.91779900228939,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.04882428289204836,0.04769250378012657,0.025735479407012464,0.08356198146939278,nan,3,3,1,5,1,3,0,27,0.004210431512682723,0.0021052157563413616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDDnight_0.3r_0.05anchorv2_0.05bdsp_0.1smv1_20260716-102043,r0.3-a2-sm0.1v1,final_best,250,BDDnight,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/BDDnight,4,512,42,10000,pure_low_single_pixel,0.3,v2,0.05,0.05,0.1,v1,3929,total_loss,10000,0.006537249148959617,0.006537249148959617,0.006236947429470469,0.0018710843051259174,0.032369980891964065,0.0016184990724738802,0.051811643307955096,0.002590582211928328,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.12848626284301282,0.1253480166196823,0.06471055001020432,0.20396742671728135,0.6725956214666367,0.6782518625259399,0.5162825047969818,0.8121347218751906,0.20223826920986177,0.20163863897323608,0.1312173381447792,0.27130024284124377,0.15811331671476364,0.15602653473615646,0.09631337076425553,0.2177925288677215,0.10384117766203704,0.09214644820601853,0.033261121961805556,0.2195824471932869,1.6941550925925927e-06,0.0,0.0,3.0924479166666607e-06,6.658635758249843,6.001718959200694,3.168604477853096,12.116353471156092,1.426311031723154,1.192341883363345,0.6078150295980758,2.9485064040027122,4.988557731579425,4.337185423300008,2.2679253807087054,9.220141370758274,0.6095218203060828,0.6054193950824618,0.4897178258817946,0.7499532797393568,0.026726983526721596,0.019300409592688084,0.008167660422623157,0.07138872072100638,0.15384549087285995,0.14442037045955658,0.06117616109549999,0.2908737286925316,0.1350158257484436,0.13116945326328278,0.06681637838482857,0.2115745931863784,0.006587274305555555,0.0035801866319444446,0.0001875,0.01967089843749999,0.7036927961485627,0.701773109439118,0.6085581119681875,0.7989778729409199,0.9793737645553724,0.9834992021888225,0.953121818084385,0.9936153477279625,0.0070030844770371916,0.006390796974301338,0.004025858826935291,0.011999284150078891,36.881276660872416,36.89925332099794,32.48256076900279,41.552908435116564,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.029822179108858107,0.027410008013248444,0.01518421582877636,0.05112742707133291,nan,4,4,3,2,4,4,0,42,0.004570835546255453,0.00045708356217594853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDDnight_0.3r_0.05anchorv2_0.05bdsp_0.5smv1_20260716-123043,r0.3-a2-sm0.5v1,final_best,250,BDDnight,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/BDDnight,4,512,42,10000,pure_low_single_pixel,0.3,v2,0.05,0.05,0.5,v1,3929,total_loss,10000,0.007828976373743104,0.007828976373743104,0.009001591496243523,0.0027004775588113134,0.028436089658455014,0.0014218045085628622,0.054676983497902225,0.0027338492228479124,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.12848626284301282,0.1253480166196823,0.06471055001020432,0.20396742671728135,0.7013406759500503,0.7013734579086304,0.5703753083944321,0.8259140640497207,0.20568215721845626,0.20272844284772873,0.1323707565665245,0.28935547173023224,0.15094604533910752,0.15074090659618378,0.10442747659981251,0.19566479250788688,0.12234256365740741,0.11321759259259259,0.048784830729166666,0.2235451750578703,0.0008242505787037037,2.6945891203703703e-05,1.4467592592592592e-06,0.0012672706886574072,7.075371895292722,6.180387067288756,3.181258270677138,13.418213149321012,1.3445503736565112,1.1463979780488687,0.6473913568349103,2.6306902811064,22.234039830992717,16.31549261981923,7.504653465843907,50.52170965216939,0.5286943334922828,0.5282679414834371,0.3750353224644619,0.6795257724158252,0.03920478416606784,0.0297790989279747,0.014500382728874684,0.0953984286636114,0.14985896757990122,0.13970104604959488,0.055324604175984865,0.29100446999073026,0.13611511945724486,0.1320813000202179,0.06733908206224443,0.21321243494749062,0.006462821180555555,0.0033935546875,0.00018473307291666668,0.019865831163194406,0.6556497001059641,0.6533142166038199,0.5532825620334989,0.7601508125233591,0.9765598217202288,0.9807659677655116,0.9505984754955938,0.9920824549006977,0.009833170345053077,0.009109263774007559,0.00552270570769906,0.01617812355980277,34.00493240308719,33.838911551396976,29.9973429752383,38.54058074304493,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.02583565581589937,0.023449517786502838,0.009732050821185112,0.05128760114312168,nan,5,5,2,1,5,5,0,49,0.00194569014930862,0.00097284507465431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv2_20260717-200532,r1-a2-sm0.1v2,best,100,LOLv2,RetinexPixelTrans,24,pure_low_single,datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.1,v2,,,,,,,,,,,,0.055691269244998697,0.046056926250457764,0.01882943119853735,0.12520217970013617,0.042298272466287014,0.03508896380662918,0.014242716925218703,0.10489877574145794,0.5060799288749694,0.4983019530773163,0.4018353521823883,0.6358283042907714,0.21623218335211278,0.2212417796254158,0.1611476831138134,0.2512877985835075,0.16525667257606982,0.16732050478458405,0.12072396986186505,0.20460825711488723,0.004484930555555555,0.0025784722222222224,0.00025687500000000005,0.017178055555555554,0.0012712638888888888,0.00046041666666666665,3.458333333333334e-05,0.00456097222222222,11.316283402457696,10.675347925200693,5.042886466738836,23.433771260374492,4.922899684839137,4.604834601196035,1.5796160400963615,8.846000356358307,10.962228088871932,10.078891503122094,5.7414839699614655,18.59427926608357,0.8002141763472252,0.8206264149558133,0.6650520689395604,0.9112429558293679,0.04333114393055439,0.04138725437223911,0.010346512682735919,0.0928838614374399,0.09121840253472328,0.08059733361005783,0.03639344647526741,0.17625476643443108,0.04498148446902633,0.03687090612947941,0.016471057292073963,0.11486604698002338,0.0,0.0,0.0,0.0,0.17253530258827143,0.16550782651382215,0.09974838652487865,0.24115135362054596,0.8891692758239471,0.9010115156688497,0.7450328414499221,0.9776304047971269,0.004154432688374073,0.004019007086753845,0.002853906888049096,0.005997089087031782,41.66994368038457,41.48778420399573,34.242445050349346,47.602006847174614,0.055691269244998697,0.046056926250457764,0.01882943119853735,0.12520217970013617,0.03552713328972459,0.03486286289989948,0.018375134468078612,0.054110391065478325,0.41614093383359996,4,2,3,8,4,6,0,42,,,9.718215424642969,9.825046727604462,6.128033403386111,12.716967267530812,0.17699897319078445,0.15694309026002884,0.11147194840013981,0.26440905779600143,13.837359837378498,14.154706442769616,10.590097084716055,16.954353243029033,0.3860289363563061,0.3754876106977463,0.2189602181315422,0.5586910039186477,1.4161409338336,1.3647471536535223,0.9819069220461882,1.9274878362602286,0.636532,0.6729083333333333,0.14445145833333334,0.9691816666666666,0.05822947096079588,0.05665775574743748,0.02043093470856547,0.099255508556962,0.8227260695717724,0.8234711453557856,0.7355865646337921,0.8989425746871941,4.11914441273553,4.276649503591796,-1.9313216497718015,10.663879872492679,2,2,2
